artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
My Darkest Days,Stutter,376YMK1A83OOtXyo4A7FKi,45,2012,alt-rock,0.418,0.939,10,-5.958,0,0.0568,3e-05,0.0217,0.469,0.791,84.859,163320,4,1
Pantera,Piss,5glW68ECkgLLPlleSdJa28,48,2012,alt-rock,0.347,0.948,2,-3.922,1,0.0533,2.1e-05,0.000208,0.256,0.158,105.661,262328,4,2
of Montreal,We Will Commit Wolf Murder,1bBHEYHcRVvvff6tugQwS7,45,2012,alt-rock,0.316,0.913,0,-5.915,1,0.0717,0.0107,0.000549,0.564,0.316,107.976,329733,4,2
Three Days Grace,Broken Glass,6rpAJECCjVZG3cNt7o9xBv,48,2012,alt-rock,0.515,0.847,0,-5.905,0,0.0645,0.0543,0.0,0.363,0.466,155.021,201013,4,2
My Darkest Days,Sick And Twisted Affair,1Oftv60LALqLdAYTTVjE1o,45,2012,alt-rock,0.581,0.94,1,-3.714,0,0.0366,0.00204,0.0,0.0663,0.649,111.987,218547,4,1
The Hives,Come On!,5rqwuONfwOeJx4yutdzxJs,42,2012,alt-rock,0.533,0.846,9,-4.72,1,0.0522,0.00767,0.014,0.573,0.719,92.632,68133,4,1
Otherwise,Die for You,2LhOhOfRHHPZ1K8IqBAr3E,48,2012,alt-rock,0.575,0.96,8,-3.388,1,0.0389,0.00264,5.88e-06,0.198,0.702,96.016,191787,4,1
The Brothers Bright,Blood On My Name,0oDZeHlximkFyBB8BmZ3ga,47,2012,alt-rock,0.563,0.47,11,-8.996,0,0.0398,0.106,0.00191,0.0613,0.178,113.617,260631,4,2
HELLYEAH,Drink Drank Drunk,5A7ZY7Ne45YzSCVmQYggkP,45,2012,alt-rock,0.477,0.943,5,-4.973,0,0.0532,0.0132,0.0,0.0512,0.457,93.041,236333,4,1
The Neighbourhood,Wires,4ObATYHHvXXlJJQ4rPKU2s,48,2012,alt-rock,0.553,0.587,7,-5.924,0,0.0327,0.000439,0.326,0.329,0.28,146.045,192600,4,2
Rhett Walker,When Mercy Found Me,51SKBQBJa7XuvMYvfUr5aX,43,2012,alt-rock,0.36,0.855,3,-4.044,1,0.0426,0.00723,0.0,0.364,0.305,147.766,238733,4,2
The Shins,It's Only Life,4UXSYJDEgOlMX3MXVkaiyH,45,2012,alt-rock,0.627,0.623,0,-6.613,1,0.0267,0.0476,1.09e-06,0.149,0.454,147.983,241613,4,1
Matthew West,Do Something,0APRAco4v5z0EjMnK0vw3P,42,2012,alt-rock,0.574,0.919,4,-4.632,1,0.041,0.00153,6.51e-06,0.0689,0.733,107.02,277307,4,1
Nine Lashes,Get Back,4Ux679XMGYSxIKWrSnQgjn,48,2012,alt-rock,0.581,0.888,5,-4.305,1,0.0385,0.000613,0.0,0.563,0.899,126.024,185720,4,1
Die Antwoord,Fatty Boom Boom,79zdJUpZ5R7ES6lDxPgwEZ,51,2012,alt-rock,0.886,0.851,7,-4.961,1,0.204,0.151,1.83e-05,0.158,0.716,93.968,225987,4,0
The Walkmen,Heaven,3US6iSyLP2uS07gjjU2ZkG,47,2012,alt-rock,0.369,0.905,9,-6.25,1,0.0561,9.97e-05,0.191,0.125,0.535,157.998,262293,4,2
Flatfoot 56,I'll Fly Away,7b1C6mz6egDlaZWavyKJv6,45,2012,alt-rock,0.518,0.938,10,-4.727,1,0.0584,0.0043,4.45e-06,0.327,0.801,146.017,164367,4,1
Silversun Pickups,The Pit,6SxnzAMCqSGCl2olRZuMK4,43,2012,alt-rock,0.609,0.754,1,-7.438,1,0.0322,0.002,0.0154,0.0936,0.461,126.002,281360,4,1
